network,payoff,strategy,mean_barC,std_barC,Pr_allC,Pr_allD,mean_time_to_absorption,n_runs
ER_p0.015,Canonical,ImitationStrategy,0.14019916666666668,0.004815336505470775,0.0,0.0,,30
ER_p0.02,Canonical,ImitationStrategy,0.11334758333333332,0.0029394166882145247,0.0,0.0,,30
Grid_20x20,Canonical,ImitationStrategy,0.16341941666666665,0.0034353361329372612,0.0,0.0,,30
WS_k8_p0.01,Canonical,ImitationStrategy,0.22782258333333333,0.02001609729868444,0.0,0.0,,30
WS_k8_p0.1,Canonical,ImitationStrategy,0.1987500833333333,0.009905547916126505,0.0,0.0,,30
ER_p0.015,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.051031000000000014,0.0011982425348875704,0.0,0.0,,30
ER_p0.02,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05009833333333334,0.0005458516492495983,0.0,0.0,,30
Grid_20x20,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.049942583333333346,0.0003401023447214932,0.0,0.0,,30
WS_k8_p0.01,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.04994233333333334,0.00034021857409747647,0.0,0.0,,30
WS_k8_p0.1,Canonical,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.049941583333333345,0.00033931630252747994,0.0,0.0,,30
ER_p0.015,Canonical,TitForTatStrategy,0.47325000000000006,0.08927244236334773,0.0,0.0,,30
ER_p0.02,Canonical,TitForTatStrategy,0.4862916666666667,0.09915292271705017,0.0,0.0,,30
Grid_20x20,Canonical,TitForTatStrategy,0.43333333333333335,0.409653624363343,0.26666666666666666,0.4,37.75,30
WS_k8_p0.01,Canonical,TitForTatStrategy,0.43333333333333335,0.409653624363343,0.26666666666666666,0.4,79.4,30
WS_k8_p0.1,Canonical,TitForTatStrategy,0.47533333333333333,0.40638637410409234,0.3,0.3333333333333333,32.21052631578947,30
ER_p0.015,Default,ImitationStrategy,0.006938499999999987,0.005948660657718645,0.0,0.1,23.666666666666668,30
ER_p0.02,Default,ImitationStrategy,0.003940499999999998,0.005154797372184078,0.0,0.4666666666666667,31.714285714285715,30
Grid_20x20,Default,ImitationStrategy,0.03304241666666668,0.010817056504208056,0.0,0.0,,30
WS_k8_p0.01,Default,ImitationStrategy,0.1000688333333333,0.026650386057996044,0.0,0.0,,30
WS_k8_p0.1,Default,ImitationStrategy,0.05316166666666666,0.019255500818768888,0.0,0.0,,30
ER_p0.015,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05602341666666667,0.004629954498330319,0.0,0.0,,30
ER_p0.02,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05435900000000001,0.004416262979816366,0.0,0.0,,30
Grid_20x20,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.050016416666666674,0.0005714363645045365,0.0,0.0,,30
WS_k8_p0.01,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05012158333333335,0.0010308553285176985,0.0,0.0,,30
WS_k8_p0.1,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05038225,0.0014964949494136915,0.0,0.0,,30
ER_p0.015,Default,TitForTatStrategy,0.47325000000000006,0.08927244236334773,0.0,0.0,,30
ER_p0.02,Default,TitForTatStrategy,0.4862916666666667,0.09915292271705017,0.0,0.0,,30
Grid_20x20,Default,TitForTatStrategy,0.43333333333333335,0.409653624363343,0.26666666666666666,0.4,37.75,30
WS_k8_p0.01,Default,TitForTatStrategy,0.43333333333333335,0.409653624363343,0.26666666666666666,0.4,79.4,30
WS_k8_p0.1,Default,TitForTatStrategy,0.47533333333333333,0.40638637410409234,0.3,0.3333333333333333,32.21052631578947,30
ER_p0.015,Snowdrift,ImitationStrategy,0.42342916666666675,0.0025257301209112124,0.0,0.0,,30
ER_p0.02,Snowdrift,ImitationStrategy,0.5070150000000001,0.04710215600618547,0.0,0.0,,30
Grid_20x20,Snowdrift,ImitationStrategy,0.47415975,0.0010717710829791659,0.0,0.0,,30
WS_k8_p0.01,Snowdrift,ImitationStrategy,0.5589421666666665,0.007514939853767786,0.0,0.0,,30
WS_k8_p0.1,Snowdrift,ImitationStrategy,0.5174491666666666,0.009229482495050123,0.0,0.0,,30
ER_p0.015,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.49273608333333335,0.018749665763496057,0.0,0.0,,30
ER_p0.02,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.5009860833333333,0.018088387941211936,0.0,0.0,,30
Grid_20x20,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.5273654166666667,0.00882382560524523,0.0,0.0,,30
WS_k8_p0.01,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.5314532499999999,0.006320997000623914,0.0,0.0,,30
WS_k8_p0.1,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.5163131666666666,0.009495604153877,0.0,0.0,,30
ER_p0.015,Snowdrift,TitForTatStrategy,0.47325000000000006,0.08927244236334773,0.0,0.0,,30
ER_p0.02,Snowdrift,TitForTatStrategy,0.4862916666666667,0.09915292271705017,0.0,0.0,,30
Grid_20x20,Snowdrift,TitForTatStrategy,0.43333333333333335,0.409653624363343,0.26666666666666666,0.4,37.75,30
WS_k8_p0.01,Snowdrift,TitForTatStrategy,0.43333333333333335,0.409653624363343,0.26666666666666666,0.4,79.4,30
WS_k8_p0.1,Snowdrift,TitForTatStrategy,0.47533333333333333,0.40638637410409234,0.3,0.3333333333333333,32.21052631578947,30
